"file","num_pages","word_count","num_listed_functions_est","members_count_est","expertise_tags","ceo_participation","meeting_frequency","reporting_line","last_review_date","authorities","self_evaluation","control_count","collab_count","orientation","top_functions"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","4","1142","10","3","scientific|legal","False","annually","Board no later","11/30/2020","","False","2","21","Collaboration","Legal/Compliance/Risk (8); Product/Project-Specific (1); Partnerships/External Collaboration (1); R&D Strategy (1)"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","3","1115","4","","legal","False","","Board regarding the activities of the Committee at appropriate times","November 25, 2020","authority_to_hire_external_experts","True","10","10","Mixed/Equal","Product/Project-Specific (11); Legal/Compliance/Risk (10); R&D Strategy (7)"
"Aclaris_Research and Development Committee Charter.pdf","3","945","17","","financial|scientific|legal","False","annual","","April 1, 2024","","False","8","7","Control","Legal/Compliance/Risk (16); R&D Strategy (13); Product/Project-Specific (9)"
"ADVERUM BIOTECH_R-D-Committee-Charter.pdf","2","627","6","","scientific|legal","False","annually","Board of Directors","September 2, 2021","","True","1","13","Collaboration","Product/Project-Specific (14); R&D Strategy (11); Legal/Compliance/Risk (9)"
"Agios Pharma_Science_and_Technology_Committee_Charter.pdf","2","532","15","","scientific","False","","","","authority_to_hire_external_experts","True","9","9","Mixed/Equal","Product/Project-Specific (7); R&D Strategy (7); Legal/Compliance/Risk (4); Partnerships/External Collaboration (1)"
"AKEBIA THERAPEUTICS_RD Committee Charter.pdf","3","1090","0","","scientific|legal|technological","False","annually","Board on the results of such evaluation and make any","September 24, 2021","","True","2","9","Collaboration","Product/Project-Specific (10); Legal/Compliance/Risk (8); R&D Strategy (7); Partnerships/External Collaboration (4)"
"Amicus Therapeutics_Science_and_Technology_Committee_Charter.pdf","1","344","6","","scientific","False","annually","","","","False","4","13","Collaboration","R&D Strategy (7); Legal/Compliance/Risk (5); Product/Project-Specific (4); Partnerships/External Collaboration (1)"
"Amylyx Pharmaceuticals_Science and Technology Committee Charter.pdf","3","884","13","","financial|scientific|legal|technological","False","biannually","","March 29, 2024","","False","7","16","Collaboration","Legal/Compliance/Risk (10); Product/Project-Specific (9); R&D Strategy (5)"
"Aptinyx-Science-and-Medicine-Committee-Charter.pdf","3","672","1","","scientific|legal","False","annually","Board on a regular basis","December 2, 2021","","False","3","10","Collaboration","Legal/Compliance/Risk (9); Product/Project-Specific (6); R&D Strategy (5)"
"Assembly BioSciences INC - S&T Committee Charter.pdf","1","413","6","","legal","False","","full Board with respect to significant matters covered at Committee meetings","December 7, 2022","","False","1","6","Collaboration","Product/Project-Specific (2); Legal/Compliance/Risk (2); R&D Strategy (1)"
"Astria Therapeutics INC_Science & Technology Committee Charter.pdf","2","563","13","","legal","False","","Board","","authority_to_hire_external_experts","True","8","9","Collaboration","R&D Strategy (7); Product/Project-Specific (6); Legal/Compliance/Risk (5); Partnerships/External Collaboration (1)"
"ATRA_Research_and_Development_Committee_Charter.pdf","2","468","4","","scientific|legal","True","","Board as he or she determines appropriate","","","False","0","5","Collaboration","Product/Project-Specific (16); R&D Strategy (9); Legal/Compliance/Risk (2)"
"Avalo_-_Science_and_Technology_Advisory_Committee_Charter.pdf","4","1368","13","","financial|scientific|legal","False","annually","Board from time to time and whenever","","","False","15","19","Collaboration","Legal/Compliance/Risk (20); Product/Project-Specific (12); R&D Strategy (6); Partnerships/External Collaboration (1)"
"Bausch Health Companies_science-and-technology-committee charters.pdf","7","2129","12","","scientific|legal","False","quarterly","Board on the activities of the Committee as contemplated in the","July 23, 2024","","False","12","23","Collaboration","Legal/Compliance/Risk (17); R&D Strategy (11); Product/Project-Specific (9)"
"Bausch health-science-and-technology-committee-charter.pdf","7","2129","12","","scientific|legal","False","quarterly","Board on the activities of the Committee as contemplated in the","July 23, 2024","","False","12","23","Collaboration","Legal/Compliance/Risk (17); R&D Strategy (11); Product/Project-Specific (9)"
"Baxter INT_Quality Compliance and Technology Committee Charter.pdf","2","698","7","","financial|scientific|legal|technological","False","annual","","November
16, 2020","","True","25","5","Control","Legal/Compliance/Risk (20); Product/Project-Specific (15); Sustainability/Ethics (4); R&D Strategy (1)"
"Bio-Techne Corp_Science and Technology Committee Charter.pdf","2","542","0","","scientific|legal","False","annually","Board at least once per year","January 30, 2025","","False","7","11","Collaboration","Legal/Compliance/Risk (9); R&D Strategy (5); Product/Project-Specific (4)"
"Biocardia_science_tech_committee_charter.pdf","2","428","4","","scientific","False","","full Board on the actions and recommendations","January 13, 2021","","False","1","6","Collaboration","Legal/Compliance/Risk (6); Product/Project-Specific (3); Partnerships/External Collaboration (1); Sustainability/Ethics (1); R&D Strategy (1)"
"BioCryst - Science Committee Charter.pdf","2","588","0","","scientific","False","","full Board at Board meetings","2024","","False","3","9","Collaboration","Legal/Compliance/Risk (7); Product/Project-Specific (6); R&D Strategy (6)"
"Biogen_S&T_Committee_Charter.pdf","1","230","0","","scientific|legal","False","","","December 10, 2014","","False","4","2","Control","R&D Strategy (6); Legal/Compliance/Risk (4); Product/Project-Specific (3); Partnerships/External Collaboration (1)"
"Blueprint - Research and Development Committee Charter 2012.pdf","2","525","0","","scientific","False","annually","","December 19, 2012","","False","4","9","Collaboration","Product/Project-Specific (9); R&D Strategy (7); Legal/Compliance/Risk (4)"
"Bristol-Myers Squibb_science-and-technology-committee-charter.pdf","2","606","9","","scientific|legal","False","annually","Board setting forth","","","False","8","18","Collaboration","R&D Strategy (9); Legal/Compliance/Risk (9); Product/Project-Specific (4); Partnerships/External Collaboration (1)"
"Caribou - Science and Technology Committee Charter.pdf","2","574","0","","scientific","False","annually","","September 20, 2022","","False","2","10","Collaboration","Product/Project-Specific (6); Legal/Compliance/Risk (3); R&D Strategy (3)"
"Carisma - Science Committee Charter.pdf","2","603","16","","legal","False","","Board","","authority_to_hire_external_experts","True","6","10","Collaboration","R&D Strategy (9); Product/Project-Specific (7); Legal/Compliance/Risk (6)"
"Celldex Therapeutics INC_Science & Regulatory Committee Charter.pdf","2","748","12","","scientific","False","annually","and assist the Board of Directors","July 14, 2023","","False","4","8","Collaboration","Legal/Compliance/Risk (12); Product/Project-Specific (4); R&D Strategy (1)"
"Cidara Therapeutics_Science-and-Technology-Committee-Charter.pdf","2","883","4","","scientific|legal","False","annually","Board from time to time or","MARCH 17, 2021","","False","4","12","Collaboration","Legal/Compliance/Risk (9); Product/Project-Specific (7); Partnerships/External Collaboration (1)"
"Codexis_-_Science__Technology_Committee_Charter.pdf","2","811","4","","scientific","False","as needed","Board regarding the activities of the Committee at","October 5, 2015","","False","9","14","Collaboration","Legal/Compliance/Risk (15); Product/Project-Specific (12); R&D Strategy (5)"
"Crinetics-R-D-Committee-Charter.pdf","2","710","13","","scientific","False","","Board of actions taken at its regular","","authority_to_hire_external_experts","False","6","13","Collaboration","Product/Project-Specific (18); Legal/Compliance/Risk (8); R&D Strategy (7); Partnerships/External Collaboration (1)"
"Cytogen Corp_Research and development Committee charter.pdf","4","968","18","","scientific|technological","True","annually","Board of Directors","August 10, 2004","","False","6","15","Collaboration","R&D Strategy (23); Legal/Compliance/Risk (10); Product/Project-Specific (9)"
"Cytokenetics_Science_Technology-Charter.pdf","2","460","7","","scientific","False","","Board of actions taken at its regular and","February 18, 2021","","False","2","9","Collaboration","Product/Project-Specific (7); Legal/Compliance/Risk (5); R&D Strategy (2)"
