"file","page","category","keyword","snippet"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","1","Product/Project-Specific","development","Inc, (“XXII” or the “Company”) has established the Scientific Advisory Board (the “SAB”) of the Company to advise the Company’s Board of Directors (“Board”) on topics relating to scientific research, development and intellectual property matters more fully described in Section 4 of this Charter. The SAB members are not employees, partners, joint venturers, or agents of the Company. SAB members shall have abs"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","1","Collaboration","joint","tors (“Board”) on topics relating to scientific research, development and intellectual property matters more fully described in Section 4 of this Charter. The SAB members are not employees, partners, joint venturers, or agents of the Company. SAB members shall have absolutely no authority to bind the Company in any manner whatsoever by any agreement, warranties or representations that may be made by su"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","1","Collaboration","advisory","22nd Century Group, Inc. Scientific Advisory Board Charter _____________________________________________________________________________________________ 1. AUTHORITY AND PURPOSE 22nd Century Group, Inc, (“XXII” or the “Company”) has established"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","1","Collaboration","advisory","____________________________________________________________________________________________ 1. AUTHORITY AND PURPOSE 22nd Century Group, Inc, (“XXII” or the “Company”) has established the Scientific Advisory Board (the “SAB”) of the Company to advise the Company’s Board of Directors (“Board”) on topics relating to scientific research, development and intellectual property matters more fully described in"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","1","Legal/Compliance/Risk","intellectual property","the “Company”) has established the Scientific Advisory Board (the “SAB”) of the Company to advise the Company’s Board of Directors (“Board”) on topics relating to scientific research, development and intellectual property matters more fully described in Section 4 of this Charter. The SAB members are not employees, partners, joint venturers, or agents of the Company. SAB members shall have absolutely no authority to bi"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","1","Legal/Compliance/Risk","review","ce of the Chair and Vice Chair. 2.2 Secretary XXII’s Corporate Secretary or his/her designee will be responsible for recording and drafting minutes of all meetings for distribution to SAB members for review and approval. 2.3 Members The Board appoints the members of the SAB, which shall be comprised of at least three members. The number of members may be adjusted as necessary by the Board to provide lea"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","1","Collaboration","advise","_______________________________________________ 1. AUTHORITY AND PURPOSE 22nd Century Group, Inc, (“XXII” or the “Company”) has established the Scientific Advisory Board (the “SAB”) of the Company to advise the Company’s Board of Directors (“Board”) on topics relating to scientific research, development and intellectual property matters more fully described in Section 4 of this Charter. The SAB members"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","1","Collaboration","recommend","mpany, except that such member shall be bound by the confidentiality obligations set forth herein and in any advisor agreement with the Company. 2. COMPOSITION 2.1 Chair Annually, the Board, upon the recommendation of the Governance and Nominating Committee, will appoint a Chair of the SAB. The Board may also appoint a member as SAB Vice Chair to act when the Chair is unavailable. The Chair will preside ov"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","1","Partnerships/External Collaboration","joint venture","tors (“Board”) on topics relating to scientific research, development and intellectual property matters more fully described in Section 4 of this Charter. The SAB members are not employees, partners, joint venturers, or agents of the Company. SAB members shall have absolutely no authority to bind the Company in any manner whatsoever by any agreement, warranties or representations that may be made by such membe"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","1","Control","governance","h member shall be bound by the confidentiality obligations set forth herein and in any advisor agreement with the Company. 2. COMPOSITION 2.1 Chair Annually, the Board, upon the recommendation of the Governance and Nominating Committee, will appoint a Chair of the SAB. The Board may also appoint a member as SAB Vice Chair to act when the Chair is unavailable. The Chair will preside over and conduct SAB meet"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","2","Legal/Compliance/Risk","intellectual property","director from the Board. The SAB members shall be made up of Company Board members and outside individuals – including distinguished independent experts drawn from the fields of science, engineering, intellectual property law, economics and other social sciences to provide a range of expertise (“Outside Members”). Recommendations for the appointment of Outside Members to the SAB shall be made by the SAB Chair to the B"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","2","Legal/Compliance/Risk","review","s and Minutes Members may suggest agenda topics to the Chair. The Chair will circulate an Agenda and meeting materials sufficiently in advance of SAB meetings to allow for appropriate preparation and review by Members. The Chair may call a special SAB meeting with five (5) days’ notice to Members, or such 2"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","2","Collaboration","communication","ch times as the SAB deems appropriate. The SAB will allow for independent and separate discussions with Management, Company employees and other resources as deemed necessary to ensure candid and open communication. Attendance at any SAB meeting may be in-person, telephonic or via-internet enabled video conferencing. Required attendance for SAB members shall be 75% of all meetings held within a year, unless oth"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","2","Collaboration","expertise","d outside individuals – including distinguished independent experts drawn from the fields of science, engineering, intellectual property law, economics and other social sciences to provide a range of expertise (“Outside Members”). Recommendations for the appointment of Outside Members to the SAB shall be made by the SAB Chair to the Board for its approval. Outside members of the SAB will receive compensati"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","2","Collaboration","recommend","ng distinguished independent experts drawn from the fields of science, engineering, intellectual property law, economics and other social sciences to provide a range of expertise (“Outside Members”). Recommendations for the appointment of Outside Members to the SAB shall be made by the SAB Chair to the Board for its approval. Outside members of the SAB will receive compensation established by the Board upo"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","2","Collaboration","recommend","ions for the appointment of Outside Members to the SAB shall be made by the SAB Chair to the Board for its approval. Outside members of the SAB will receive compensation established by the Board upon recommendation from the Chair of the SAB. SAB members serve at the pleasure of the Board and are appointed to serve a two- year term, but they may resign, their service may be terminated, or they may be asked"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","2","Collaboration","enable","cussions with Management, Company employees and other resources as deemed necessary to ensure candid and open communication. Attendance at any SAB meeting may be in-person, telephonic or via-internet enabled video conferencing. Required attendance for SAB members shall be 75% of all meetings held within a year, unless otherwise excused by the Chair, with special consideration for an annual forum of the"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","3","Legal/Compliance/Risk","legal","requirements. The SAB may establish such rules as it determines necessary or proper to conduct the SAB’s business which are not contrary to XXII’s Bylaws, Corporate Governance Guidelines, policies or legal requirements. 3.3 Assistance from Management and Third Parties The SAB will have reasonable access to, and complete and open communication with the Company’s Management and access to XXII’s corporate"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","3","Collaboration","guide","XXII’s record retention requirements. The SAB may establish such rules as it determines necessary or proper to conduct the SAB’s business which are not contrary to XXII’s Bylaws, Corporate Governance Guidelines, policies or legal requirements. 3.3 Assistance from Management and Third Parties The SAB will have reasonable access to, and complete and open communication with the Company’s Management and ac"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","3","Collaboration","consult","s Management and access to XXII’s corporate records. In addressing SAB business, the SAB may request advice and appropriate assistance from Company employees and third parties, including advisers and consultants. 4. RESPONSIBILITIES The Board appoints the members of the SAB, but the SAB and its members are not agents of the Board and they have no authority or power conferred upon them by the Board to act"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","3","Collaboration","communication","trary to XXII’s Bylaws, Corporate Governance Guidelines, policies or legal requirements. 3.3 Assistance from Management and Third Parties The SAB will have reasonable access to, and complete and open communication with the Company’s Management and access to XXII’s corporate records. In addressing SAB business, the SAB may request advice and appropriate assistance from Company employees and third parties, inclu"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","3","Collaboration","advise","the Company’s Management and access to XXII’s corporate records. In addressing SAB business, the SAB may request advice and appropriate assistance from Company employees and third parties, including advisers and consultants. 4. RESPONSIBILITIES The Board appoints the members of the SAB, but the SAB and its members are not agents of the Board and they have no authority or power conferred upon them by th"
